U,N,run_level,Nabf_runs,Nrep,alpha,iota,R0,amplitude,cohort,gamma,sigma,mu,sigmaSE,rho,psi,g,abf_loglik,abf_loglik_se,notes
10,208,2,8,35000,1,0,34.0629194448125,0.522561059856425,0,48.8503616679098,51.7127623931444,0.02,0.11088612071448,0.5,0.188813301043427,100,-8837.04358111683,1.39513815775184,sim_study_2
10,208,2,8,35000,1,0,34.984160444189,0.491325881862592,0,46.8045324250052,51.6418338622248,0.02,0.11003198692361,0.5,0.198442766945168,50,-8755.52933511157,1.10811093277267,sim_study_2
10,208,2,8,60000,1,0,23.8425399221011,0.582787939452661,0,46.7467558531077,50.949779412856,0.02,0.147129006090882,0.5,0.180710571520819,1000,-8790.39056766104,2.5427499609299,sim_study_2
10,208,2,8,60000,1,0,37.2887592185086,0.554597183707981,0,39.8918038898319,55.3430144991603,0.02,0.133777939012262,0.5,0.186880955116683,200,-8702.77425408386,0.650182333891185,sim_study_2
10,208,2,8,60000,1,0,21.332837776164,0.458841154232065,0,59.6342086996535,54.8422835234587,0.02,0.12423529360019,0.5,0.173797537227258,1100,-8870.23578783311,555.400137225019,sim_study_2
10,208,2,8,60000,1,0,26.8045165574555,0.517987204467763,0,47.7026181631631,50.8758425881542,0.02,0.134442428268628,0.5,0.177015524895842,500,-8684.30479685981,1.21884518154049,sim_study_2
10,208,2,8,60000,1,0,31.8602971879018,0.528214273231296,0,54.5927066435939,50.2021881987097,0.02,0.115782215068854,0.5,0.188796438238655,200,-8691.30383227019,1.2722838848195,sim_study_2
10,208,2,8,60000,1,0,24.2311506153642,0.499546692676925,0,43.2134990981223,63.200232364274,0.02,0.13205037405233,0.5,0.179952143326948,500,-8738.25758631603,6.44973841687652,sim_study_2
10,208,2,8,60000,1,0,21.430626304474,0.487358050809411,0,53.2519753719269,50.0399158982836,0.02,0.13808856534961,0.5,0.171115149246801,1100,-8836.47097026293,34.3155973430923,sim_study_2
10,208,2,8,60000,1,0,24.1755937396699,0.4738078359366,0,70.7962097435483,44.4391171990773,0.02,0.121598026726303,0.5,0.181210207061889,400,-8693.70656884101,2.18000583694613,sim_study_2
10,208,2,8,60000,1,0,29.8537437801619,0.508965903612209,0,50.8041122306651,47.1919279662327,0.02,0.133697795984253,0.5,0.168165841470372,400,-8673.17632485374,0.54867568132942,sim_study_2
10,208,2,8,60000,1,0,25.6106425244812,0.556026793707446,0,43.0806096239915,58.5673215918976,0.02,0.13762360862859,0.5,0.172538093244343,700,-8704.25976238417,8.50411873685177,sim_study_2
10,208,2,8,60000,1,0,25.7097268080925,0.488841552064369,0,51.2485450815869,55.9200922520102,0.02,0.123340605871526,0.5,0.179561606566591,300,-8696.13007040206,1.00890887336201,sim_study_2
10,208,2,8,60000,1,0,32.0803953935476,0.518238740631201,0,46.0044698153551,58.1808976243319,0.02,0.124338629090971,0.5,0.168063150846782,200,-8678.12412737719,2.99162832904971,sim_study_2
10,208,2,8,60000,1,0,27.949472432794,0.526860822999876,0,46.9603712717821,54.0057187988077,0.02,0.130379962264479,0.5,0.173301133010153,300,-8676.8199752134,0.810820431152527,sim_study_2
10,208,2,8,60000,1,0,23.8273717158034,0.572903349707123,0,52.2185501324986,48.6843859990602,0.02,0.138687481671735,0.5,0.177398352683945,1000,-8754.88237765759,16.7783343343131,sim_study_2
10,208,2,8,60000,1,0,23.1624166408396,0.521900517058723,0,72.4018252247793,40.8465552637529,0.02,0.130817701172794,0.5,0.17963644269989,800,-8732.0943133814,3.66509633162524,sim_study_2
10,208,2,8,60000,1,0,22.9673605813208,0.520900154438252,0,55.1062872145851,42.4822565536655,0.02,0.150836167986485,0.5,0.173441468755153,800,-8768.75817923975,3.05667854407674,sim_study_2
10,208,2,8,60000,1,0,23.3657463435173,0.460009399097699,0,41.0853259711193,116.516453856175,0.02,0.108444031276367,0.5,0.184007733831967,400,-8772.75205107469,6.71165988283026,sim_study_2
10,208,2,8,60000,1,0,27.3305335472614,0.534068254856305,0,52.1213795123162,48.3163434692643,0.02,0.133689654443281,0.5,0.167610539441482,600,-8681.04957024584,0.704197900897209,sim_study_2
10,208,2,8,60000,1,0,22.752091972578,0.526387885608603,0,52.3881611574321,45.498493439049,0.02,0.144464356782999,0.5,0.172906551264807,900,-8783.79715351002,6.46266085852707,sim_study_2
10,208,2,8,60000,1,0,27.5367790997258,0.54012534995353,0,53.158533018877,44.5105425099588,0.02,0.14575948477061,0.5,0.168023471299347,900,-8680.61765420523,1.11920054283939,sim_study_2
10,208,2,8,60000,1,0,30.2406803643522,0.524227629632875,0,55.7845391230008,43.0275974304444,0.02,0.135299169631791,0.5,0.175577905581678,300,-8668.90778749928,3.64677524623335,sim_study_2
10,208,2,8,60000,1,0,22.0748590723595,0.518678514765757,0,56.0585967047283,54.3399343747465,0.02,0.118794656232682,0.5,0.165622068042803,700,-9508.41932897073,28.2011131298661,sim_study_2
10,208,2,8,60000,1,0,24.9529298360643,0.541263249159893,0,45.1664719808978,46.1307228368709,0.02,0.151271917515544,0.5,0.179454908897432,600,-8721.72913120549,9.42950505018728,sim_study_2
10,208,2,8,60000,1,0,25.973704375023,0.478071089506673,0,49.6704532324614,51.1536449208245,0.02,0.132998687782507,0.5,0.188136827441772,500,-8692.62343808504,0.578574954643134,sim_study_2
